campus,policy,R0,gamma,beta,budget_fraction,cost_used,n_edges_removed,steady_state_prevalence,steady_state_ci_low,steady_state_ci_high,peak_prevalence,time_to_extinction,lambda_residual,n_realizations,seed,cost_function,steady_ci_width
Bowdoin47,gnn,3.0,0.1,0.002415058267040779,0.2,9831.597217365212,17189,0.3272128492849285,0.3252842794279428,0.3291601408140814,0.33408888888888894,,79.99719230719344,50,42,sigmoid_dot,0.0038758613861386015
Bowdoin47,gnn,3.0,0.1,0.002415058267040779,0.4,19663.400872445793,34190,0.1193070187018702,0.10551757755775579,0.13269002420242024,0.1553244444444445,,62.59484293002347,50,42,sigmoid_dot,0.02717244664466445
Bowdoin47,random,3.0,0.1,0.002415058267040779,0.0,0.0,0,0.4084965456545654,0.4071520374037404,0.4097905368536853,0.4118577777777778,,124.22060539665422,50,42,sigmoid_dot,0.002638499449944931
Bowdoin47,random,3.0,0.1,0.002415058267040779,0.005,245.72704345206222,425,0.4067262486248625,0.4053863388338834,0.4080087656765677,0.4101688888888889,,123.63815144846154,50,42,sigmoid_dot,0.0026224268426842667
Bowdoin47,random,3.0,0.1,0.002415058267040779,0.01,491.1113007694632,847,0.40513513751375135,0.4037908448844885,0.40642141254125413,0.4086044444444443,,123.00136134274828,50,42,sigmoid_dot,0.0026305676567656144
Bowdoin47,random,3.0,0.1,0.002415058267040779,0.02,983.1022187977684,1692,0.40176510451045105,0.40044845104510457,0.40305304290429045,0.4053333333333333,,121.79202092645725,50,42,sigmoid_dot,0.0026045918591858785
Bowdoin47,random,3.0,0.1,0.002415058267040779,0.05,2457.5494458044577,4218,0.39111190319031897,0.3898622574257426,0.3923855599559956,0.3943644444444444,,118.20753446410728,50,42,sigmoid_dot,0.002523302530253013
Bowdoin47,random,3.0,0.1,0.002415058267040779,0.1,4915.59391587035,8433,0.37250657865786574,0.371170198019802,0.3738398481848185,0.3759466666666667,,112.07970691295242,50,42,sigmoid_dot,0.002669650165016524
Bowdoin47,random,3.0,0.1,0.002415058267040779,0.2,9831.518239058649,16866,0.3235429702970297,0.3097240638063807,0.3313492343234323,0.3267466666666666,,99.70261948943957,50,42,sigmoid_dot,0.021625170517051595
Bowdoin47,random,3.0,0.1,0.002415058267040779,0.4,19663.121782038266,33736,0.20353980198019805,0.18882377557755775,0.21568580638063803,0.21500444444444436,,74.95707423218015,50,42,sigmoid_dot,0.026862030803080278
Bowdoin47,betweenness,6.0,0.1,0.004830116534081558,0.0,0.0,0,0.6026895489548955,0.601718805280528,0.6036807172717272,0.6060533333333332,,124.22060539665412,50,42,sigmoid_dot,0.0019619119911992167
Bowdoin47,betweenness,6.0,0.1,0.004830116534081558,0.005,245.5236332344058,432,0.5994863806380638,0.5985155599559957,0.6004909724972498,0.6029511111111109,,123.89934790802303,50,42,sigmoid_dot,0.001975412541254107
Bowdoin47,betweenness,6.0,0.1,0.004830116534081558,0.01,491.13907994203396,867,0.5971825742574258,0.5962245544554455,0.5981657095709572,0.6005777777777778,,123.33947768020448,50,42,sigmoid_dot,0.001941155115511628
Bowdoin47,betweenness,6.0,0.1,0.004830116534081558,0.02,982.7268629792627,1736,0.5926660506050605,0.5917785566556656,0.5935981452145214,0.5959644444444445,,122.39185464017687,50,42,sigmoid_dot,0.001819588558855778
Bowdoin47,betweenness,6.0,0.1,0.004830116534081558,0.05,2457.5318769718115,4341,0.5812847524752476,0.5803613377337734,0.5822369152915291,0.5848533333333333,,119.35316289982977,50,42,sigmoid_dot,0.0018755775577556921
Bowdoin47,betweenness,6.0,0.1,0.004830116534081558,0.1,4915.718390823037,8653,0.5626799559955995,0.5617480198019801,0.5636896413641365,0.5660533333333334,,114.0817202250759,50,42,sigmoid_dot,0.0019416215621563815
Bowdoin47,betweenness,6.0,0.1,0.004830116534081558,0.2,9831.762561192378,17245,0.523645500550055,0.522748899889989,0.5245816633663366,0.5269599999999999,,103.25829521260312,50,42,sigmoid_dot,0.001832763476347643
Bowdoin47,betweenness,6.0,0.1,0.004830116534081558,0.4,19663.16732502321,34271,0.4226031243124313,0.4186509614961496,0.42606128932893295,0.4287466666666666,,84.91285147422336,50,42,sigmoid_dot,0.007410327832783337
Bowdoin47,distance_threshold,6.0,0.1,0.004830116534081558,0.0,0.0,0,0.6026895489548955,0.601718805280528,0.6036807172717272,0.6060533333333332,,124.22060539665424,50,42,sigmoid_dot,0.0019619119911992167
Bowdoin47,distance_threshold,6.0,0.1,0.004830116534081558,0.005,245.5,491,0.6016170737073707,0.6006534213421342,0.6025955159515952,0.6050400000000002,,123.39702169678601,50,42,sigmoid_dot,0.0019420946094610425
Bowdoin47,distance_threshold,6.0,0.1,0.004830116534081558,0.01,491.5,983,0.6004516611661166,0.5994810319031904,0.6014149548954896,0.6040266666666668,,122.60274895164822,50,42,sigmoid_dot,0.0019339229922992196
Bowdoin47,distance_threshold,6.0,0.1,0.004830116534081558,0.02,983.0,1966,0.5981455665566557,0.5972132849284929,0.5990818921892189,0.6015199999999998,,120.98046499137845,50,42,sigmoid_dot,0.0018686072607260185
Bowdoin47,distance_threshold,6.0,0.1,0.004830116534081558,0.05,2457.4593160780323,4741,0.5913546314631463,0.5904363564356435,0.5922754169416942,0.5949244444444446,,116.15018246931312,50,42,sigmoid_dot,0.0018390605060506493
Bowdoin47,distance_threshold,6.0,0.1,0.004830116534081558,0.1,4915.574035832888,9330,0.579188294829483,0.5783276281628161,0.5800561496149614,0.5831822222222223,,108.62658632324114,50,42,sigmoid_dot,0.001728521452145304
Bowdoin47,distance_threshold,6.0,0.1,0.004830116534081558,0.2,9831.66260963897,18057,0.5509204840484049,0.5499899119911992,0.5517406886688668,0.5553866666666668,,96.22484635985818,50,42,sigmoid_dot,0.0017507766776676537
Bowdoin47,distance_threshold,6.0,0.1,0.004830116534081558,0.4,19663.345902393157,34522,0.31174996699669966,0.28691139273927396,0.33560669526952697,0.31456888888888895,,84.72702625893001,50,42,sigmoid_dot,0.048695302530253004
Bowdoin47,gnn,6.0,0.1,0.004830116534081558,0.0,0.0,0,0.6026895489548955,0.601718805280528,0.6036807172717272,0.6060533333333332,,124.22060539665416,50,42,sigmoid_dot,0.0019619119911992167
Bowdoin47,gnn,6.0,0.1,0.004830116534081558,0.005,245.33765653731922,438,0.6024513971397141,0.6014810275027503,0.6034432167216721,0.6058311111111112,,120.29976199471147,50,42,sigmoid_dot,0.0019621892189217727
Bowdoin47,gnn,6.0,0.1,0.004830116534081558,0.01,491.51734857621216,878,0.602093201320132,0.6011240220022003,0.6030860088008801,0.60552,,117.96133751416843,50,42,sigmoid_dot,0.001961986798679871
Bowdoin47,gnn,6.0,0.1,0.004830116534081558,0.02,982.9035224156141,1754,0.6012108250825083,0.6002471749174918,0.60219699009901,0.6046755555555556,,114.2679918847603,50,42,sigmoid_dot,0.0019498151815181552
Bowdoin47,gnn,6.0,0.1,0.004830116534081558,0.05,2457.393238283861,4351,0.598024290429043,0.5970403498349834,0.5989982860286028,0.601626666666667,,105.81268761309256,50,42,sigmoid_dot,0.0019579361936193918
Bowdoin47,gnn,6.0,0.1,0.004830116534081558,0.1,4915.64789097395,8648,0.5911767656765677,0.5902302464246425,0.5921535269526953,0.5948533333333333,,95.1447815463085,50,42,sigmoid_dot,0.0019232805280527954
